id,nombre,horasTrabajadas,sueldo
829,Gibb,152,29280
828,Euell,134,24960
827,Stanford,234,57100
826,Aime,178,37500
825,Michail,135,25200
824,Cordy,94,16920
823,Sergeant,210,48700
822,Manon,160,31200
821,Aleta,209,48350
820,Boothe,221,52550
819,Esma,223,53250
818,Harland,131,24240
817,Basilio,181,38550
816,Wynnie,104,18720
815,Gwenny,208,48000
814,Freddy,125,22800
813,Gaelan,154,29760
812,Wilhelmine,148,28320
811,Eleanor,207,47650
810,Rees,206,47300
809,Blaire,181,38550
808,Gerardo,126,23040
807,Glynn,172,35400
806,Brooks,185,39950
805,Colver,203,46250
804,Bartie,92,16560
803,Lindsy,123,22320
802,Bili,152,29280
801,Hedvig,238,58500
800,Armando,216,50800
799,Rhea,82,14760
798,Vin,169,34350
797,Fayth,221,52550
796,Brittne,114,20520
795,Montgomery,157,30480
794,Pail,161,31550
793,Roberto,207,47650
792,Shayna,224,53600
791,Molli,81,14580
790,Yank,192,42400
789,Janina,152,29280
788,Aleksandr,164,32600
787,Arlan,173,35750
786,Ly,85,15300
785,Henry,215,50450
784,Gib,235,57450
783,Melisenda,105,18900
782,Marlowe,96,17280
781,Alis,155,30000
780,Peirce,232,56400
779,Shelley,146,27840
778,Gary,145,27600
777,Karoly,212,49400
776,Joshia,220,52200
775,Aurelea,229,55350
774,Corey,89,16020
773,Ezequiel,150,28800
772,Cacilia,154,29760
771,Lizette,143,27120
770,Dalia,120,21600
769,Karyn,155,30000
768,Janela,102,18360
767,Penny,163,32250
766,Brice,237,58150
765,Brandea,156,30240
764,Jo,102,18360
763,Rosanna,139,26160
762,Tedi,228,55000
761,Dolph,103,18540
760,Herrick,122,22080
759,Filmore,86,15480
758,Read,91,16380
757,Lulu,115,20700
756,Luther,174,36100
755,Homerus,210,48700
754,Madelon,234,57100
753,Belva,182,38900
752,Jenda,136,25440
751,Pammy,221,52550
750,Merrili,180,38200
749,Lita,141,26640
748,Deana,218,51500
747,Hamlin,162,31900
746,Babbie,226,54300
745,Liana,93,16740
744,Elbertina,189,41350
743,Aurelia,133,24720
742,Algernon,229,55350
741,Obidiah,199,44850
740,Georgi,109,19620
739,Maisie,159,30960
738,Lin,234,57100
737,Jennette,141,26640
736,Lev,156,30240
735,Rosabella,198,44500
734,Jodi,81,14580
733,Randi,106,19080
732,Gratiana,128,23520
731,Vittoria,155,30000
730,Haley,122,22080
729,Ches,166,33300
728,Angel,151,29040
727,Rey,168,34000
726,Leone,240,59200
725,Donella,169,34350
724,Cammy,87,15660
723,Angeli,155,30000
722,Zechariah,155,30000
721,Avril,198,44500
720,Colleen,169,34350
719,Yvonne,126,23040
718,Clotilda,225,53950
717,Johnath,168,34000
716,Silvanus,125,22800
715,Gunter,136,25440
714,Gracie,213,49750
713,Noam,201,45550
712,Genvieve,151,29040
711,Rosanne,203,46250
710,Anneliese,80,14400
709,Ninette,167,33650
708,Amie,146,27840
707,Madelon,171,35050
706,Tate,185,39950
705,Bernardina,156,30240
704,Issy,222,52900
703,Bette,219,51850
702,Jaine,135,25200
701,Hagen,104,18720
700,Phillida,203,46250
699,Issy,132,24480
698,Bliss,96,17280
697,Adria,184,39600
696,Emmalee,216,50800
695,Gennie,176,36800
694,Chrisse,99,17820
693,Megan,207,47650
692,Elwyn,155,30000
691,Clarinda,95,17100
690,Pasquale,201,45550
689,Bernardine,166,33300
688,Brunhilde,80,14400
687,Eugenie,164,32600
686,Darb,201,45550
685,Clevey,102,18360
684,Alanna,238,58500
683,Othella,207,47650
682,Abraham,220,52200
681,Yale,202,45900
680,Joyann,198,44500
679,Randy,221,52550
678,Carroll,203,46250
677,Aloin,110,19800
676,Murray,146,27840
675,Kaycee,185,39950
674,Blake,199,44850
673,Ashly,135,25200
672,Mirabella,202,45900
671,Jania,191,42050
670,Daniela,178,37500
669,Aryn,127,23280
668,Annemarie,240,59200
667,Harman,112,20160
666,Alyssa,173,35750
665,Louisa,224,53600
664,Nickie,163,32250
663,Durand,125,22800
662,Lisle,151,29040
661,Rhonda,185,39950
660,Yardley,127,23280
659,Ange,99,17820
658,Jordan,232,56400
657,Jake,99,17820
656,Nil,117,21060
655,Skippy,96,17280
654,Bent,149,28560
653,Killian,86,15480
652,Cilka,238,58500
651,Hammad,115,20700
650,Irv,225,53950
649,Lynnette,207,47650
648,Biron,81,14580
647,Reuben,203,46250
646,Nannette,146,27840
645,Terese,107,19260
644,Lambert,234,57100
643,Giulio,150,28800
642,Raynard,126,23040
641,Otto,188,41000
640,Manya,189,41350
639,Thain,222,52900
638,Dorolisa,107,19260
637,Chloette,146,27840
636,Kory,206,47300
635,Luigi,236,57800
634,Jeanie,183,39250
633,Ad,141,26640
632,Flss,219,51850
631,Jamie,130,24000
630,Thorn,117,21060
629,Margy,215,50450
628,Thom,221,52550
627,Junina,192,42400
626,Kristian,103,18540
625,Evangeline,177,37150
624,Joan,226,54300
623,Normand,157,30480
622,Tracee,80,14400
621,Eirena,85,15300
620,Karrie,150,28800
619,Roderigo,215,50450
618,Layton,211,49050
617,Miner,113,20340
616,Farra,191,42050
615,Bernadette,212,49400
614,Abraham,210,48700
613,Gusty,95,17100
612,Dannie,94,16920
611,Ag,200,45200
610,Josias,114,20520
609,Matty,152,29280
608,Marline,236,57800
607,Axe,90,16200
606,Georgina,159,30960
605,Casey,221,52550
604,Chiquita,90,16200
603,Rahel,223,53250
602,Cassandry,120,21600
601,Gregoor,200,45200
600,Meghan,187,40650
599,Archibald,100,18000
598,Neala,218,51500
597,Laurice,119,21420
596,Esra,168,34000
595,Newton,111,19980
594,Leilah,127,23280
593,Fleurette,181,38550
592,Darbie,145,27600
591,Carlie,206,47300
590,Gwynne,116,20880
589,Laurena,156,30240
588,Lombard,110,19800
587,Zuzana,214,50100
586,Waring,131,24240
585,Lynn,206,47300
584,Maximo,177,37150
583,Ros,127,23280
582,Lew,157,30480
581,Cash,228,55000
580,Gibb,161,31550
579,Efrem,154,29760
578,Kelly,184,39600
577,Cassi,209,48350
576,Robert,101,18180
575,Reggis,216,50800
574,Laraine,166,33300
573,Dugald,113,20340
572,Ansell,209,48350
571,Athena,191,42050
570,Care,204,46600
569,Karlik,122,22080
568,Quintina,113,20340
567,Ryan,169,34350
566,Nils,137,25680
565,Margie,225,53950
564,Decca,202,45900
563,Lynsey,151,29040
562,Juanita,139,26160
561,Art,186,40300
560,Walker,191,42050
559,Karisa,102,18360
558,Gamaliel,180,38200
557,Mirabella,183,39250
556,Alexandrina,206,47300
555,Wallache,100,18000
554,Angeli,109,19620
553,Morgan,127,23280
552,Ginger,84,15120
551,Caren,179,37850
550,Arliene,198,44500
549,Egbert,236,57800
548,Florenza,225,53950
547,Derick,223,53250
546,Sigismund,106,19080
545,Gal,229,55350
544,Skipp,235,57450
543,Dalila,127,23280
542,Pace,233,56750
541,Perry,188,41000
540,Dyan,91,16380
539,Dilly,178,37500
538,Claudius,106,19080
537,Elysha,149,28560
536,Danell,145,27600
535,Franny,123,22320
534,Marlo,223,53250
533,Jefferey,153,29520
532,Gary,136,25440
531,Nananne,156,30240
530,Minni,110,19800
529,Karlen,200,45200
528,Cad,157,30480
527,Waldo,215,50450
526,Annabel,215,50450
525,Emlen,227,54650
524,Ronica,186,40300
523,Briano,146,27840
522,Grantham,141,26640
521,Sigfrid,109,19620
520,Katinka,178,37500
519,Tally,167,33650
518,Goran,136,25440
517,Abbe,166,33300
516,Homer,209,48350
515,Yancey,209,48350
514,Tabb,171,35050
513,Scotty,223,53250
512,Wallas,228,55000
511,Nara,179,37850
510,Elmira,216,50800
509,Elton,173,35750
508,Ardra,207,47650
507,Juli,192,42400
506,Rowen,104,18720
505,Hollyanne,120,21600
504,Brandie,180,38200
503,Anthiathia,91,16380
502,Del,105,18900
501,Shauna,176,36800
500,Bev,194,43100
499,Bary,191,42050
498,Alec,170,34700
497,Jeralee,134,24960
496,Rosamund,101,18180
495,Horatia,106,19080
494,Bentley,109,19620
493,Gianna,144,27360
492,Earlie,104,18720
491,Amil,145,27600
490,Leigh,126,23040
489,Filmer,131,24240
488,Carlin,157,30480
487,Mikey,233,56750
486,Tarrah,82,14760
485,Hertha,148,28320
484,Rockey,189,41350
483,Simonette,132,24480
482,Lu,210,48700
481,Brigitte,203,46250
480,Renell,133,24720
479,Rolando,159,30960
478,Chrysler,100,18000
477,Oren,135,25200
476,Tildi,206,47300
475,Shandee,102,18360
474,Sorcha,93,16740
473,Rosamund,147,28080
472,Murielle,224,53600
471,Calida,138,25920
470,Horace,120,21600
469,Des,177,37150
468,Gerladina,117,21060
467,Dido,191,42050
466,Seamus,132,24480
465,Dimitri,203,46250
464,Theo,113,20340
463,Eimile,90,16200
462,Charmaine,232,56400
461,Hill,108,19440
460,Francine,170,34700
459,Ertha,115,20700
458,Osborne,163,32250
457,Goldia,239,58850
456,Austina,224,53600
455,Chauncey,87,15660
454,Simonne,151,29040
453,Alfy,207,47650
452,Farrand,142,26880
451,Melamie,114,20520
450,Andrei,152,29280
449,Gal,194,43100
448,Leonid,125,22800
447,Cointon,180,38200
446,Zelda,108,19440
445,Abraham,141,26640
444,Romonda,146,27840
443,Pierson,152,29280
442,Fiorenze,225,53950
441,Josias,172,35400
440,Walton,134,24960
439,Benny,233,56750
438,Kevyn,238,58500
437,Josh,127,23280
436,Ignace,181,38550
435,Donelle,120,21600
434,Melisande,190,41700
433,Ferdinanda,227,54650
432,Kiri,156,30240
431,Arlan,82,14760
430,Ania,129,23760
429,Liam,127,23280
428,Tarra,121,21840
427,Lynea,233,56750
426,Trevor,202,45900
425,Virgina,166,33300
424,Sharleen,206,47300
423,Tiphany,180,38200
422,Wendall,188,41000
421,Tiphani,164,32600
420,Madison,108,19440
419,Packston,226,54300
418,Demetri,107,19260
417,Rowe,208,48000
416,Duffie,94,16920
415,Margalit,200,45200
414,Stepha,148,28320
413,Brose,233,56750
412,Cammy,127,23280
411,Torre,87,15660
410,Beaufort,136,25440
409,Marcella,207,47650
408,Sara,235,57450
407,Guillema,166,33300
406,Janetta,116,20880
405,El,125,22800
404,Carmina,178,37500
403,Kyla,157,30480
402,Phillis,148,28320
401,Cherin,210,48700
400,Junette,93,16740
399,Laurice,216,50800
398,Vick,109,19620
397,Ninetta,212,49400
396,Aryn,218,51500
395,Tasia,105,18900
394,Andie,165,32950
393,Tris,190,41700
392,Karney,132,24480
391,Courtney,222,52900
390,Galvin,92,16560
389,Carmelle,165,32950
388,Maxwell,227,54650
387,Kerk,193,42750
386,Manuel,104,18720
385,Ignacius,216,50800
384,Tessy,177,37150
383,Audi,137,25680
382,Gran,198,44500
381,Rebeka,114,20520
380,Wandis,183,39250
379,Channa,144,27360
378,Mirelle,232,56400
377,Dorisa,223,53250
376,Chic,151,29040
375,Taddeusz,139,26160
374,Colver,227,54650
373,Kerrie,168,34000
372,Arabela,100,18000
371,Nadiya,155,30000
370,Pen,96,17280
369,Doralin,227,54650
368,Leonanie,206,47300
367,Chad,100,18000
366,Blithe,199,44850
365,Veronika,226,54300
364,Leticia,131,24240
363,Christos,94,16920
362,Arabel,217,51150
361,Myrtle,228,55000
360,Dilan,104,18720
359,Nollie,97,17460
358,Dorie,204,46600
357,Melicent,218,51500
356,Ardra,163,32250
355,Terry,137,25680
354,Eyde,106,19080
353,Ray,112,20160
352,Rocky,115,20700
351,Helena,126,23040
350,Sandy,178,37500
349,Sigismund,220,52200
348,Fee,114,20520
347,Delano,116,20880
346,Dannie,166,33300
345,Donalt,152,29280
344,Allin,197,44150
343,Aubree,220,52200
342,Hunter,146,27840
341,Stearne,147,28080
340,Alisander,115,20700
339,Ally,141,26640
338,Chev,167,33650
337,Curran,227,54650
336,Harris,117,21060
335,Caprice,221,52550
334,Reta,172,35400
333,Abner,119,21420
332,Leta,112,20160
331,Teddy,231,56050
330,Forbes,155,30000
329,Amelie,179,37850
328,Betti,108,19440
327,Veronica,85,15300
326,Gaven,199,44850
325,Henry,212,49400
324,Netta,92,16560
323,Orelie,222,52900
322,Saree,201,45550
321,Lelia,150,28800
320,Valle,150,28800
319,Johannah,218,51500
318,Rikki,221,52550
317,Boris,148,28320
316,Alyse,214,50100
315,Sandro,216,50800
314,Louie,212,49400
313,Sloan,135,25200
312,Petronia,146,27840
311,Marcella,162,31900
310,Katrina,158,30720
309,Angele,213,49750
308,Land,197,44150
307,Derril,102,18360
306,Carin,167,33650
305,Wesley,80,14400
304,Bonnibelle,167,33650
303,Pamella,80,14400
302,Archibaldo,230,55700
301,Roseanne,94,16920
300,Vasilis,214,50100
299,Rodi,235,57450
298,Rosabella,104,18720
297,Wyn,207,47650
296,Florella,146,27840
295,Shirline,103,18540
294,Ronna,210,48700
293,Kissiah,136,25440
292,Walker,84,15120
291,Loise,170,34700
290,Hannis,147,28080
289,Bearnard,120,21600
288,Nicola,135,25200
287,Madelaine,168,34000
286,Augustus,225,53950
285,Demott,236,57800
284,Alli,192,42400
283,Georgena,156,30240
282,Felice,203,46250
281,Ettore,191,42050
280,Rana,130,24000
279,Ezri,238,58500
278,Julio,219,51850
277,Brooks,83,14940
276,Leslie,230,55700
275,Fidelity,227,54650
274,Kassia,195,43450
273,Jasmine,213,49750
272,Marven,96,17280
271,Gwenore,240,59200
270,Morgen,213,49750
269,Jonah,222,52900
268,Anastasia,98,17640
267,Sig,83,14940
266,Rafaelita,113,20340
265,Yank,94,16920
264,Norbert,175,36450
263,Rhona,226,54300
262,Obie,162,31900
261,Lauritz,116,20880
260,Celestyn,224,53600
259,Casey,153,29520
258,Eran,186,40300
257,Philippe,165,32950
256,Earvin,211,49050
255,Raleigh,130,24000
254,Babb,181,38550
253,Elisha,142,26880
252,Tersina,105,18900
251,Teodora,153,29520
250,Scotti,211,49050
249,Michele,181,38550
248,Eirena,128,23520
247,Theodoric,187,40650
246,Edwin,228,55000
245,Berty,194,43100
244,Jenn,92,16560
243,Conway,158,30720
242,Marje,168,34000
241,Bibbye,144,27360
240,Wolfgang,204,46600
239,Chariot,224,53600
238,Allister,90,16200
237,Rhetta,98,17640
236,Bonni,135,25200
235,Claudius,146,27840
234,Jordan,190,41700
233,Amalita,186,40300
232,Hadleigh,158,30720
231,Maighdiln,236,57800
230,Nessy,158,30720
229,Estella,124,22560
228,Tracy,177,37150
227,Krystle,147,28080
226,Riki,138,25920
225,Tallou,194,43100
224,Lilah,166,33300
223,Hanni,209,48350
222,Winona,175,36450
221,Barnabas,159,30960
220,Gerardo,168,34000
219,Cyrus,225,53950
218,Ethelda,124,22560
217,Sydel,228,55000
216,Ximenez,170,34700
215,Shay,201,45550
214,Joana,205,46950
213,Bern,155,30000
212,Beaufort,218,51500
211,Romona,216,50800
210,Ida,207,47650
209,Juliet,199,44850
208,Iormina,131,24240
207,Pansie,118,21240
206,Tana,114,20520
205,Elita,95,17100
204,Rube,144,27360
203,Kacie,85,15300
202,Kilian,152,29280
201,Yvonne,190,41700
200,Pasquale,240,59200
199,Lorelei,191,42050
198,Alyss,80,14400
197,Dorise,217,51150
196,Kat,131,24240
195,Eddy,94,16920
194,Ritchie,153,29520
193,Otho,107,19260
192,Tedie,171,35050
191,Brett,142,26880
190,Ives,200,45200
189,Jojo,98,17640
188,Colman,105,18900
187,Cazzie,222,52900
186,Eadmund,186,40300
185,Meredith,184,39600
184,Vinny,118,21240
183,Elfrida,239,58850
182,Rae,99,17820
181,Alvan,169,34350
180,Shanda,154,29760
179,Gordon,109,19620
178,Rosalinda,114,20520
177,Robyn,103,18540
176,Ranice,104,18720
175,Lemar,123,22320
174,Sabina,166,33300
173,Redford,127,23280
172,Emmy,80,14400
171,Humbert,239,58850
170,Isa,165,32950
169,Laurie,86,15480
168,Alix,105,18900
167,Sayer,168,34000
166,Norma,107,19260
165,Katheryn,223,53250
164,Ralph,88,15840
163,Bari,230,55700
162,Martyn,174,36100
161,Brigit,166,33300
160,Electra,202,45900
159,Annissa,133,24720
158,Odille,175,36450
157,Fred,112,20160
156,Herb,81,14580
155,Janessa,194,43100
154,Monica,235,57450
153,Krissy,171,35050
152,Janene,216,50800
151,Durant,91,16380
